,AAPL,AMZN,MSFT,NVDA,TSLA
AAPL,1.0,0.5616100105381853,0.6342146938165497,0.5206142726832058,0.5017844545816719
AMZN,0.5616100105381853,1.0,0.6542334647168925,0.5570597697452652,0.45008502276615303
MSFT,0.6342146938165497,0.6542334647168925,1.0,0.6309814859716811,0.4243956865632045
NVDA,0.5206142726832058,0.5570597697452652,0.6309814859716811,1.0,0.4685316475501048
TSLA,0.5017844545816719,0.45008502276615303,0.4243956865632045,0.4685316475501048,1.0
