Date,Close
2021-01-04,208.8822479248047
2021-01-05,209.08372497558594
2021-01-06,203.6622772216797
2021-01-07,209.45790100097656
2021-01-08,210.734130859375
2021-01-11,208.6903076171875
2021-01-12,206.23387145996094
2021-01-13,207.5868682861328
2021-01-14,204.40118408203125
2021-01-15,204.04611206054688
2021-01-19,207.6827850341797
2021-01-20,215.26315307617188
2021-01-21,215.86764526367188
2021-01-22,216.80801391601562
2021-01-25,220.24314880371094
2021-01-26,222.92990112304688
2021-01-27,223.476806640625
2021-01-28,229.26284790039062
2021-01-29,222.5748748779297
2021-02-01,229.95370483398438
2021-02-02,229.8193359375
2021-02-03,233.16818237304688
2021-02-04,232.2182159423828
2021-02-05,232.40052795410156
2021-02-08,232.6595916748047
2021-02-09,233.90699768066406
2021-02-10,232.9954833984375
2021-02-11,234.59788513183594
2021-02-12,235.0776824951172
2021-02-16,233.83985900878906
2021-02-17,234.85928344726562
2021-02-18,234.46495056152344
2021-02-19,231.7528533935547
2021-02-22,225.53994750976562
2021-02-23,224.347412109375
2021-02-24,225.5784149169922
2021-02-25,220.2310791015625
2021-02-26,223.49142456054688
2021-03-01,227.87701416015625
2021-03-02,224.92440795898438
2021-03-03,218.85577392578125
2021-03-04,218.05747985839844
2021-03-05,222.74122619628906
2021-03-08,218.69227600097656
2021-03-09,224.8378448486328
2021-03-10,223.5299072265625
2021-03-11,228.0597381591797
2021-03-12,226.73251342773438
2021-03-15,225.82846069335938
2021-03-16,228.61752319335938
2021-03-17,227.97312927246094
2021-03-18,221.89491271972656
2021-03-19,221.53904724121094
2021-03-22,226.96334838867188
2021-03-23,228.4925079345703
2021-03-24,226.45359802246094
2021-03-25,223.4529266357422
2021-03-26,227.43460083007812
2021-03-29,226.24200439453125
2021-03-30,222.981689453125
2021-03-31,226.751708984375
2021-04-01,233.08004760742188
2021-04-05,239.54302978515625
2021-04-06,238.37928771972656
2021-04-07,240.34129333496094
2021-04-08,243.56309509277344
2021-04-09,246.06369018554688
2021-04-12,246.12136840820312
2021-04-13,248.6027069091797
2021-04-14,245.81361389160156
2021-04-15,249.57406616210938
2021-04-16,250.7666473388672
2021-04-19,248.84317016601562
2021-04-20,248.38148498535156
2021-04-21,250.61270141601562
2021-04-22,247.3331756591797
2021-04-23,251.16094970703125
2021-04-26,251.545654296875
2021-04-27,251.9495849609375
2021-04-28,244.82301330566406
2021-04-29,242.85142517089844
2021-04-30,242.53402709960938
2021-05-03,242.226318359375
2021-05-04,238.31198120117188
2021-05-05,237.0424346923828
2021-05-06,240.17776489257812
2021-05-07,242.80337524414062
2021-05-10,237.72531127929688
2021-05-11,236.8115997314453
2021-05-12,229.8582000732422
2021-05-13,233.73402404785156
2021-05-14,238.658203125
2021-05-17,235.80181884765625
2021-05-18,233.78211975097656
2021-05-19,234.36048889160156
2021-05-20,237.59942626953125
2021-05-21,236.33663940429688
2021-05-24,241.74453735351562
2021-05-25,242.650634765625
2021-05-26,242.42897033691406
2021-05-27,240.32745361328125
2021-05-28,240.6841278076172
2021-06-01,238.48631286621094
2021-06-02,238.38990783691406
2021-06-03,236.8572235107422
2021-06-04,241.754150390625
