Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2021-01-04,13.076725959777832,13.614214972587265,12.926149380434182,13.067502211124319,560640000
2021-01-05,13.367157936096191,13.405798962277402,13.050299048810631,13.063012965896096,322760000
2021-01-06,12.579124450683594,13.20785614214832,12.550704770549924,13.185419202200734,580424000
2021-01-07,13.30657958984375,13.340235478052634,12.850363041122911,12.931135270824335,461480000
2021-01-08,13.239516258239746,13.383361639460059,13.005424797193161,13.325026358914794,292528000
2021-01-11,13.583300590515137,13.92184894045649,13.32502709160105,13.381118966632627,518344000
2021-01-12,13.44693374633789,13.715927864557273,13.307576126874734,13.713932666822668,291476000
2021-01-13,13.493803024291992,13.586791799856059,13.347465053272895,13.452170148278045,210028000
2021-01-14,13.16323471069336,13.561614361959876,13.143540449455568,13.536934007155532,283120000
2021-01-15,12.823436737060547,13.287880328629798,12.812467905007326,13.190903071841593,277780000
2021-01-19,12.988722801208496,13.057279430107188,12.807980522839523,12.979747264530975,226188000
2021-01-20,13.328269004821777,13.392837146187576,13.020135512164993,13.074980630078048,258572000
2021-01-21,13.828611373901367,13.959992011036567,13.215834583904515,13.380870156744221,337780000
2021-01-22,13.674047470092773,13.802935556370324,13.589036624292714,13.701470507641192,246820000
2021-01-25,13.614959716796875,13.789718288039488,13.199378522097208,13.743099328178776,251112000
2021-01-26,13.397575378417969,13.606487262954001,13.349958806472381,13.542417439336141,163980000
2021-01-27,12.881525039672852,13.19564126498745,12.75787222578399,13.19289858121172,371272000
2021-01-28,13.014403343200684,13.302344306224285,12.92415723591021,12.959807377370314,228316000
2021-01-29,12.95332145690918,13.297354205271604,12.875290969662462,13.038332282925575,271552000
2021-02-01,13.199881553649902,13.233536494186444,12.866568401432255,13.016646669284185,217204000
2021-02-02,13.518733024597168,13.533939513350386,13.248242969774687,13.361176112515281,220440000
2021-02-03,13.49255657196045,13.89268122482267,13.478595893291107,13.597759985933012,245408000
2021-02-04,13.625930786132812,13.635154533800035,13.30034647317784,13.493054232332696,201340000
2021-02-05,13.552886009216309,13.698726599293336,13.507762965833473,13.686511005543283,169152000
2021-02-08,14.398261070251465,14.433162770962314,13.688756093800874,13.688756093800874,434624000
2021-02-09,14.223249435424805,14.54235169940777,14.182613215614609,14.300531480045814,287560000
2021-02-10,14.722846031188965,14.863201253824297,14.301282039333971,14.422690490908412,485352000
